zone_name,country_code,abbreviation,time_start,gmt_offset,dst
America/Chicago,US,CDT,6885331200,-18000,1
America/Chicago,US,CST,6905890800,-21600,0
America/Chicago,US,CDT,6916780800,-18000,1
America/Chicago,US,CST,6937340400,-21600,0
America/Chicago,US,CDT,6948835200,-18000,1
America/Chicago,US,CST,6969394800,-21600,0
America/Chicago,US,CDT,6980284800,-18000,1
America/Chicago,US,CST,7000844400,-21600,0
America/Chicago,US,CDT,7011734400,-18000,1
America/Chicago,US,CST,7032294000,-21600,0
America/Chicago,US,CDT,7043184000,-18000,1
America/Chicago,US,CST,7063743600,-21600,0
America/Chicago,US,CDT,7074633600,-18000,1
America/Chicago,US,CST,7095193200,-21600,0
America/Chicago,US,CDT,7106083200,-18000,1
America/Chicago,US,CST,7126642800,-21600,0
America/Chicago,US,CDT,7138137600,-18000,1
America/Chicago,US,CST,7158697200,-21600,0
America/Chicago,US,CDT,7169587200,-18000,1
America/Chicago,US,CST,7190146800,-21600,0
America/Chicago,US,CDT,7201036800,-18000,1
America/Chicago,US,CST,7221596400,-21600,0
America/Chicago,US,CDT,7232486400,-18000,1
America/Chicago,US,CST,7253046000,-21600,0
America/Chicago,US,CDT,7263936000,-18000,1
America/Chicago,US,CST,7284495600,-21600,0
America/Chicago,US,CDT,7295385600,-18000,1
America/Chicago,US,CST,7315945200,-21600,0
America/Chicago,US,CDT,7327440000,-18000,1
America/Chicago,US,CST,7347999600,-21600,0
America/Chicago,US,CDT,7358889600,-18000,1
America/Chicago,US,CST,7379449200,-21600,0
America/Chicago,US,CDT,7390339200,-18000,1
America/Chicago,US,CST,7410898800,-21600,0
America/Chicago,US,CDT,7421788800,-18000,1
America/Chicago,US,CST,7442348400,-21600,0
America/Chicago,US,CDT,7453238400,-18000,1
America/Chicago,US,CST,7473798000,-21600,0
America/Chicago,US,CDT,7484688000,-18000,1
America/Chicago,US,CST,7505247600,-21600,0
America/Chicago,US,CDT,7516742400,-18000,1
America/Chicago,US,CST,7537302000,-21600,0
America/Chicago,US,CDT,7548192000,-18000,1
America/Chicago,US,CST,7568751600,-21600,0
America/Chicago,US,CDT,7579641600,-18000,1
America/Chicago,US,CST,7600201200,-21600,0
America/Chicago,US,CDT,7611091200,-18000,1
America/Chicago,US,CST,7631650800,-21600,0
America/Chicago,US,CDT,7642540800,-18000,1
America/Chicago,US,CST,7663100400,-21600,0
America/Chicago,US,CDT,7674595200,-18000,1
